timestamp_ns,work,latency_us,cpu_idle_percent
4206862363361,BTC,-53137706.066,0.00
4206862615736,DOGE,-53137446.117,0.00
4206862905390,BNB,-53137157.537,0.00
4206863026503,ETH,-53137035.942,0.00
4206863279897,SOL,-53136780.067,0.00
4206863541717,LTC,-53136519.395,0.00
4266862062300,ADA,-53138035.202,99.67
4266862067356,LTC,-53138007.109,0.00
4266862185080,BNB,-53137872.810,0.00
4266862539735,ETH,-53137523.600,0.00
4266862624921,SOL,-53137443.136,0.00
4266862683533,XRP,-53137377.616,0.00
4266862808462,BTC,-53137247.984,0.00
4266862833110,DOGE,-53137684.233,0.00
4326862052893,SOL,-53138049.924,99.31
4326862072597,XRP,-53138014.701,0.00
4326862194488,ADA,-53137873.606,0.00
4326862243081,BNB,-53137818.975,0.00
4326862394269,BTC,-53137684.881,0.00
4326862418658,LTC,-53137644.972,0.00
4326862451992,DOGE,-53137611.324,0.00
4326862490585,ETH,-53137565.990,0.00
4386862092090,BTC,-53137995.504,99.69
4386862092109,XRP,-53138001.707,99.69
4386862219537,ADA,-53137855.427,0.00
4386862326446,DOGE,-53137735.573,0.00
4386862095850,LTC,-53137968.948,0.00
4386862345409,BNB,-53137711.832,100.00
4386862450856,ETH,-53137612.053,0.00
4386862606636,SOL,-53137584.127,0.00
4446862211473,BNB,-53137887.751,99.78
4446862217417,BTC,-53137851.028,0.00
4446862443847,DOGE,-53137612.358,0.00
4446862546145,XRP,-53137517.393,0.00
4446862302141,ETH,-53137772.360,0.00
4446862211751,SOL,-53137867.102,0.00
4446862308011,LTC,-53137748.915,0.00
4446862324308,ADA,-53137732.841,0.00
4506862408175,BNB,-53137682.586,99.67
4506862439657,LTC,-53137629.029,0.00
4506862676271,DOGE,-53137393.507,0.00
4506862778088,SOL,-53137277.061,0.00
4506862892515,XRP,-53137162.726,0.00
4506862681957,ADA,-53137379.711,0.00
4506862917849,BTC,-53137144.948,0.00
4506863160389,ETH,-53136899.389,0.00
4566862421374,BNB,-53137665.016,99.69
4566862505153,SOL,-53137550.422,0.00
4566862638470,ADA,-53137423.642,0.00
4566862421985,LTC,-53137650.849,0.00
4566862918455,XRP,-53137142.694,0.00
4566863164681,ETH,-53136898.802,0.00
4566862922399,DOGE,-53137147.361,0.00
4566863444184,BTC,-53136616.798,0.00
4626862453255,XRP,-53137639.524,99.73
4626862494366,BNB,-53137580.542,0.00
4626862589775,ADA,-53137467.503,0.00
4626862702980,LTC,-53137352.354,0.00
4626862740814,SOL,-53137321.983,0.00
4626862807185,BTC,-53137247.649,0.00
4626862929150,ETH,-53137135.258,0.00
4626862972002,DOGE,-53137290.909,0.00
4686862585352,ADA,-53137488.427,0.00
4686862585092,BNB,-53137526.853,99.71
4686862714298,XRP,-53137342.870,0.00
4686862750724,LTC,-53137309.054,0.00
4686862884985,ETH,-53137422.963,0.00
4686863004338,DOGE,-53137058.866,0.00
4686863038617,BTC,-53137018.643,0.00
4686863045746,SOL,-53137020.495,0.00
4746862849713,DOGE,-53137244.880,99.75
4746863106976,BNB,-53136959.988,0.00
4746862853010,LTC,-53137217.047,0.00
4746863229922,BTC,-53136835.172,0.00
4746863245533,XRP,-53136817.449,0.00
4746863248459,ETH,-53136808.820,0.00
4746863344534,SOL,-53136711.355,0.00
4746863508925,ADA,-53136961.136,0.00
4806862734436,BNB,-53137338.399,99.73
4806862855344,ETH,-53137212.212,0.00
4806862873530,LTC,-53137279.287,0.00
4806862952623,XRP,-53137102.451,0.00
4806862734991,DOGE,-53137361.473,0.00
4806862858678,SOL,-53137198.823,0.00
4806863016883,BTC,-53137074.136,0.00
4806862734973,ADA,-53137362.028,0.00
4866858220261,ADA,-53141871.184,99.72
4866858252873,DOGE,-53141811.128,0.00
4866858295225,ETH,-53141774.498,0.00
4866858220835,LTC,-53141875.703,0.00
4866858423504,BNB,-53141661.071,0.00
4866859112216,XRP,-53140950.304,0.00
4866863233540,BTC,-53136839.906,100.00
4866863239854,SOL,-53136826.165,0.00
4926862944573,XRP,-53137152.873,99.48
4926862956110,ETH,-53137118.705,0.00
4926863064204,DOGE,-53137000.389,0.00
4926863282799,BTC,-53136774.313,0.00
4926863081630,ADA,-53136978.130,0.00
4926863086445,SOL,-53136979.963,0.00
4926863335077,BNB,-53136888.759,0.00
4926863311558,LTC,-53136750.739,0.00
4986863125934,SOL,-53136973.197,99.76
4986863126804,DOGE,-53136973.234,0.00
4986863227027,BNB,-53136841.751,0.00
4986863342140,BTC,-53136715.398,0.00
4986863483956,ADA,-53136573.933,0.00
4986863510030,LTC,-53136557.618,0.00
4986863733718,XRP,-53136328.672,0.00
4986863790219,ETH,-53136270.986,0.00
5046858267809,LTC,-53141831.933,99.75
5046858301291,ETH,-53141778.044,0.00
5046859023761,DOGE,-53141040.610,0.00
5046863275083,ADA,-53136791.640,100.00
5046863287212,BTC,-53136778.548,0.00
5046863375084,SOL,-53136681.213,0.00
5046863401788,BNB,-53136654.954,0.00
5046863377843,XRP,-53136684.306,0.00
5106863155906,ADA,-53136916.206,99.77
5106863156443,LTC,-53136948.762,0.00
5106863258722,XRP,-53136807.297,0.00
5106863504298,DOGE,-53136558.388,0.00
5106863569243,BNB,-53136501.702,0.00
5106863686819,BTC,-53136375.534,0.00
5106863793690,SOL,-53136267.422,0.00
5106863856728,ETH,-53136204.180,0.00
5166858173384,ADA,-53141905.024,99.73
5166858270515,BTC,-53141798.412,0.00
5166858174365,LTC,-53141917.710,0.00
5166858686259,XRP,-53141378.334,0.00
5166858740278,DOGE,-53141320.241,0.00
5166858429109,SOL,-53141641.225,0.00
5166858823390,BNB,-53141237.869,0.00
5166863887181,ETH,-53136172.949,50.00
5226858235263,LTC,-53141866.349,99.75
5226863464721,ADA,-53136611.706,100.00
5226863514795,SOL,-53136554.891,0.00
5226863531369,ETH,-53136663.188,0.00
5226863477036,BNB,-53136592.095,0.00
5226863640296,DOGE,-53136418.000,0.00
5226863782835,BTC,-53136356.648,0.00
5226863844187,XRP,-53136248.851,0.00
5286858340969,DOGE,-53141754.587,99.74
5286858871234,BTC,-53141210.860,0.00
5286863667001,BNB,-53136395.036,66.67
5286863675464,SOL,-53136396.018,0.00
5286863694557,ADA,-53136369.203,0.00
5286863769484,LTC,-53136287.684,0.00
5286863802614,XRP,-53136256.054,0.00
5286863863948,ETH,-53136191.146,0.00
5346863539396,LTC,-53136544.883,99.74
5346863539729,XRP,-53136559.476,0.00
5346863581007,ADA,-53136485.086,0.00
5346863666749,BNB,-53136391.696,0.00
5346863679619,BTC,-53136380.919,0.00
5346863783379,ETH,-53136272.640,0.00
5346863904899,DOGE,-53136157.342,0.00
5346863943473,SOL,-53136119.212,0.00
5406863601030,LTC,-53136496.767,99.75
5406863678660,BNB,-53136388.637,0.00
5406863705327,BTC,-53136364.155,0.00
5406863778661,ADA,-53136278.617,0.00
5406863812032,XRP,-53136246.580,0.00
5406863820476,ETH,-53136236.691,0.00
5406863908903,SOL,-53136147.357,0.00
5406863679123,DOGE,-53136391.915,0.00
5466858278832,ADA,-53141823.113,99.71
5466858288999,DOGE,-53141782.538,0.00
5466858319537,ETH,-53141747.649,0.00
5466858381667,BTC,-53141684.519,0.00
5466858429852,LTC,-53141628.148,0.00
5466858509520,XRP,-53141575.407,0.00
5466858790596,BNB,-53141274.441,0.00
5466864154904,SOL,-53135923.041,100.00
5526863824677,ETH,-53136265.787,0.00
5526863886733,XRP,-53136183.786,0.00
5526863939826,BTC,-53136117.711,0.00
5526863985216,SOL,-53136073.081,0.00
5526864086494,DOGE,-53135986.562,0.00
5526864291107,BNB,-53135772.523,0.00
5526863824492,ADA,-53136269.565,99.32
5526864320793,LTC,-53135740.023,0.00
5586863953417,BNB,-53136141.176,99.71
5586864100919,XRP,-53135958.267,0.00
5586863956084,LTC,-53136116.305,0.00
5586864390977,DOGE,-53135686.024,0.00
5586864223587,ADA,-53135836.118,0.00
5586864487218,SOL,-53135582.986,0.00
5586864509978,ETH,-53135546.967,0.00
5586864514608,BTC,-53135554.912,0.00
5646858201503,ADA,-53141891.757,99.73
5646858848120,LTC,-53141221.010,0.00
5646864069110,SOL,-53136019.187,66.67
5646864071795,BTC,-53136013.743,0.00
5646864282038,BNB,-53135782.296,0.00
5646864366613,ETH,-53135687.943,0.00
5646864472928,DOGE,-53135581.424,0.00
5646864283205,XRP,-53135775.722,0.00
5706864344544,BNB,-53135757.105,99.73
5706864435267,ADA,-53135621.696,0.00
5706864347341,BTC,-53135724.549,0.00
5706864601121,LTC,-53135459.917,0.00
5706864353544,XRP,-53135713.697,0.00
5706864839011,DOGE,-53135226.693,0.00
5706864878141,SOL,-53135188.674,0.00
5706864964846,ETH,-53135091.969,0.00
5766864146491,ETH,-53135952.918,99.71
5766864242936,BTC,-53135813.916,0.00
5766864293084,SOL,-53135778.175,0.00
5766864347566,ADA,-53135708.286,0.00
5766864438400,BNB,-53135615.211,0.00
5766864153231,DOGE,-53135916.640,0.00
5766864611032,LTC,-53135454.080,0.00
5766864248880,XRP,-53135821.120,0.00
5826858385048,ADA,-53141710.656,99.70
5826858519013,XRP,-53141554.340,0.00
5826864526434,BNB,-53135542.381,66.67
5826864562935,LTC,-53135499.381,0.00
5826864665973,BTC,-53135391.120,0.00
5826864687491,ETH,-53135373.750,0.00
5826864706436,SOL,-53135489.436,0.00
5826864780788,DOGE,-53135275.082,0.00
5886858203163,XRP,-53141887.560,99.76
5886858269534,BTC,-53141798.448,0.00
5886858360553,SOL,-53141709.188,0.00
5886858608092,ADA,-53141455.260,0.00
5886864851682,LTC,-53135212.874,66.67
5886864904275,BNB,-53135162.910,0.00
5886864937887,DOGE,-53135117.558,0.00
5886865036221,ETH,-53135018.335,0.00
5946858208996,ADA,-53141887.690,99.76
5946858271682,SOL,-53141803.245,0.00
5946858286923,DOGE,-53141777.152,0.00
5946858413461,BNB,-53141645.336,0.00
5946858542536,BTC,-53141516.020,0.00
5946865043924,XRP,-53135022.817,66.67
5946865086999,LTC,-53134979.613,0.00
5946865175074,ETH,-53134950.261,0.00
6006858180641,BNB,-53141921.583,99.73
6006864495712,ADA,-53135591.363,66.67
6006864520527,SOL,-53135543.584,0.00
6006864607806,LTC,-53135457.176,0.00
6006864506861,DOGE,-53135566.381,0.00
6006864611473,BTC,-53135447.250,0.00
6006864623880,ETH,-53135435.287,0.00
6006864752548,XRP,-53135304.434,0.00
6066864942062,ADA,-53135152.254,99.72
6066865211842,LTC,-53134854.233,0.00
6066865259583,BNB,-53134814.306,0.00
6066865395436,ETH,-53134663.990,0.00
6066865516789,SOL,-53134539.971,0.00
6066865623994,XRP,-53134430.729,0.00
6066865755532,DOGE,-53134316.080,0.00
6066865968737,BTC,-53134111.300,0.00
6126864619001,BNB,-53135479.204,99.41
6126864696113,ADA,-53135374.814,0.00
6126864729205,BTC,-53135336.425,0.00
6126864837521,SOL,-53135231.628,0.00
6126864954392,ETH,-53135104.256,0.00
6126865174617,LTC,-53134888.125,0.00
6126865206024,DOGE,-53134855.162,0.00
6126865228987,XRP,-53134833.550,0.00
6186858190568,LTC,-53141894.544,99.78
6186858191068,BNB,-53141905.082,0.00
6186858247032,ETH,-53141826.914,0.00
6186858463146,DOGE,-53141603.133,0.00
6186858545184,ADA,-53141520.428,0.00
6186858548573,BTC,-53141509.205,0.00
6186858653612,XRP,-53141409.648,0.00
6186858756354,SOL,-53141300.369,0.00
6246858165979,BNB,-53141923.300,99.76
6246858336703,ADA,-53141735.983,0.00
6246858467890,BTC,-53141599.759,0.00
