timestamp,symbol,moving_avg,volume_sum
2025-09-07 01:10:00,SOL,200.829,3367.19
2025-09-07 01:10:00,BNB,858.537,31.7866
2025-09-07 01:10:00,DOGE,0.215242,6.91861e+06
2025-09-07 01:10:00,BTC,110212,7.68273
2025-09-07 01:10:00,LTC,111.88,280.856
2025-09-07 01:10:00,ETH,4282.59,841.638
2025-09-07 01:11:00,SOL,200.814,2708.44
2025-09-07 01:11:00,BNB,858.512,31.2554
2025-09-07 01:11:00,DOGE,0.215252,7.73009e+06
2025-09-07 01:11:00,XRP,2.80662,115282
2025-09-07 01:11:00,ETH,4282.52,863.818
2025-09-07 01:11:00,BTC,110211,7.74804
2025-09-07 01:11:00,ADA,0.819312,98278.1
2025-09-07 01:11:00,LTC,111.873,343.056
2025-09-07 01:12:00,BNB,858.496,33.3709
2025-09-07 01:12:00,BTC,110211,7.5502
2025-09-07 01:12:00,DOGE,0.215258,8.00663e+06
2025-09-07 01:12:00,LTC,111.872,295.055
2025-09-07 01:12:00,ADA,0.81929,98960.4
2025-09-07 01:12:00,XRP,2.80648,115122
2025-09-07 01:12:00,SOL,200.805,2649.78
2025-09-07 01:12:00,ETH,4282.48,863.086
2025-09-07 01:13:00,ADA,0.819251,65434.6
2025-09-07 01:13:00,XRP,2.80651,105966
2025-09-07 01:13:00,ETH,4283.33,474.567
2025-09-07 01:13:00,LTC,111.876,302.13
2025-09-07 01:13:00,DOGE,0.215288,8.0645e+06
2025-09-07 01:13:00,BNB,858.468,25.8187
2025-09-07 01:13:00,SOL,200.799,2519.14
2025-09-07 01:13:00,BTC,110212,5.71554
2025-09-07 01:14:00,BNB,858.438,24.7195
2025-09-07 01:14:00,ADA,0.819211,65557
2025-09-07 01:14:00,SOL,200.796,2469.34
2025-09-07 01:14:00,BTC,110213,4.94412
2025-09-07 01:14:00,DOGE,0.215321,8.09097e+06
2025-09-07 01:14:00,XRP,2.80655,103523
2025-09-07 01:14:00,ETH,4283.09,364.817
2025-09-07 01:14:00,LTC,111.878,299.638
2025-09-07 01:15:00,ADA,0.819185,68991.8
2025-09-07 01:15:00,SOL,200.79,2444.98
2025-09-07 01:15:00,XRP,2.80654,104341
2025-09-07 01:15:00,DOGE,0.215342,8.07713e+06
2025-09-07 01:15:00,ETH,4282.98,355.788
2025-09-07 01:15:00,BTC,110213,4.91703
2025-09-07 01:15:00,BNB,858.437,24.7924
2025-09-07 01:15:00,LTC,111.879,289.772
2025-09-07 01:16:00,ETH,4282.64,333.303
2025-09-07 01:16:00,DOGE,0.215367,7.73967e+06
2025-09-07 01:16:00,XRP,2.80633,94282.6
2025-09-07 01:16:00,LTC,111.873,314.89
2025-09-07 01:16:00,BTC,110207,4.21908
2025-09-07 01:16:00,ADA,0.818982,69109.3
2025-09-07 01:16:00,BNB,858.276,36.5514
2025-09-07 01:16:00,SOL,200.771,2300.24
2025-09-07 01:17:00,BNB,858.202,29.4941
2025-09-07 01:17:00,ADA,0.818947,69354.4
2025-09-07 01:17:00,XRP,2.80633,94047.6
2025-09-07 01:17:00,DOGE,0.215387,7.48207e+06
2025-09-07 01:17:00,SOL,200.739,2652.6
2025-09-07 01:17:00,BTC,110206,4.09817
2025-09-07 01:17:00,LTC,111.86,329.751
2025-09-07 01:17:00,ETH,4282.55,323.961
2025-09-07 01:18:00,SOL,200.665,1778.94
2025-09-07 01:18:00,LTC,111.85,313.484
2025-09-07 01:18:00,XRP,2.80572,73582.3
2025-09-07 01:18:00,DOGE,0.215402,6.13452e+06
2025-09-07 01:18:00,BTC,110202,3.85782
2025-09-07 01:18:00,BNB,858.208,25.857
2025-09-07 01:18:00,ADA,0.818539,49070.5
2025-09-07 01:18:00,ETH,4281.64,290.757
